DBN,Year,Mean_Scale_Score_e,Mean_Scale_Score_m,Total Enrollment,% Asian,% Black,% Hispanic,% Multi-Racial,% Native American,%_White,% Missing Race/Ethnicity Data,% SWD,% ELL,% Poverty,ENI,p_tested_e,p_tested_m,% POC
01M015,2018,610.2985229,606.5969849,190,0.10526315867900848,0.27368420362472534,0.5789473652839661,0.005263158120214939,0.005263158120214939,0.031578946858644485,0,0.25789472460746765,0.04210526496171951,0.8473684191703796,0.8896052837371826,0.3526315789473684,0.3526315789473684,0.9684210531413555
01M015,2019,605.6428833,605.9571533,174,0.13793103396892548,0.27586206793785095,0.545976996421814,0,0.005747126415371895,0.03448275849223137,0,0.22413793206214905,0.04597701132297516,0.8448275923728943,0.8879252672195435,0.40229885057471265,0.40229885057471265,0.9655172415077686
01M015,2022,596.2161865,588.1333618,179,0.11731843650341034,0.2793295979499817,0.5195530652999878,0.016759777441620827,0,0.0670391097664833,0,0.21229049563407898,0.06145251542329788,0.8379888534545898,0.879353940486908,0.4134078212290503,0.41899441340782123,0.9329608902335167
01M019,2018,604.1304321,602.9550781,257,0.08949416130781174,0.1906614750623703,0.6459143757820129,0.011673151515424252,0,0.06225680932402611,0,0.3501945436000824,0.031128404662013054,0.7704280018806458,0.6786069869995117,0.35797665369649806,0.3463035019455253,0.9377431906759739
01M019,2019,603.9024658,600.1875,249,0.05622490122914314,0.20883534848690033,0.6265060305595398,0.03212851285934448,0.00401606410741806,0.07228915393352509,0,0.40963855385780334,0.03212851285934448,0.7349397540092468,0.6868582963943481,0.3293172690763052,0.321285140562249,0.9277108460664749
01M019,2022,606,600.8965454,176,0.05681818351149559,0.1818181872367859,0.5738636255264282,0.04545454680919647,0.005681818351149559,0.11931817978620529,0.017045455053448677,0.40909090638160706,0.034090910106897354,0.7045454382896423,0.6783486008644104,0.3522727272727273,0.32954545454545453,0.8806818202137947
01M020,2018,595.7128906,593.0755005,497,0.2957746386528015,0.10261569172143936,0.531187117099762,0.028169013559818268,0.008048289455473423,0.03219315782189369,0.0020120723638683558,0.2374245524406433,0.17303822934627533,0.7364184856414795,0.7999637722969055,0.42052313883299797,0.42655935613682094,0.9678068421781063
01M020,2019,596.9187622,595.5979614,481,0.2869022786617279,0.13721413910388947,0.49688148498535156,0.02494802512228489,0.006237006280571222,0.04573804512619972,0.0020790020935237408,0.2432432472705841,0.13097712397575378,0.6777547001838684,0.7540062665939331,0.4095634095634096,0.41372141372141374,0.9542619548738003
01M020,2022,589.3636475,585.7714233,351,0.19658119976520538,0.15099714696407318,0.5470085740089417,0.017094017937779427,0.008547008968889713,0.07692307978868484,0.0028490028344094753,0.21082621812820435,0.09971509873867035,0.7008547186851501,0.7531823515892029,0.31339031339031337,0.29914529914529914,0.9230769202113152
01M034,2018,592.8131104,588.3891602,333,0.03303303197026253,0.31831830739974976,0.6126126050949097,0,0.006006006151437759,0.027027027681469917,0.0030030030757188797,0.3723723590373993,0.07507507503032684,0.95,0.9366576671600342,0.6426426426426426,0.6636636636636637,0.9729729723185301
01M034,2019,589.3485107,586.4793701,305,0.026229508221149445,0.33442622423171997,0.5967212915420532,0,0.009836065582931042,0.02950819581747055,0.0032786885276436806,0.38360655307769775,0.07213114947080612,0.95,0.9484459161758423,0.6491803278688525,0.6360655737704918,0.9704918041825294
01M034,2022,589.0927124,576.1344604,258,0.03100775182247162,0.41472867131233215,0.5271317958831787,0,0.0038759689778089523,0.023255813866853714,0,0.341085284948349,0.06201550364494324,0.95,0.9444883465766907,0.5852713178294574,0.46124031007751937,0.9767441861331463
01M063,2018,606.921875,602.25,203,0.029556650668382645,0.1822660118341446,0.6305418610572815,0.03940886631608009,0,0.11822660267353058,0,0.3300492465496063,0.009852216579020023,0.8177340030670166,0.7619507312774658,0.31527093596059114,0.31527093596059114,0.8817733973264694
01M063,2019,600.2531738,594.7307739,230,0.017391303554177284,0.19565217196941376,0.6521739363670349,0.03913043439388275,0,0.09565217047929764,0,0.33478260040283203,0.017391303554177284,0.769565224647522,0.7371441125869751,0.34347826086956523,0.3391304347826087,0.9043478295207024
01M063,2022,593.8823242,588.0285645,186,0.016129031777381897,0.20430107414722443,0.6451612710952759,0.037634409964084625,0.005376344081014395,0.07526881992816925,0.016129031777381897,0.32258063554763794,0.016129031777381897,0.7473118305206299,0.7038314938545227,0.1827956989247312,0.1881720430107527,0.9247311800718307
01M064,2018,595.7557983,592.116272,245,0.044897958636283875,0.20816326141357422,0.6816326379776001,0.01224489789456129,0,0.05306122452020645,0,0.29795917868614197,0.020408162847161293,0.922448992729187,0.8823959231376648,0.3510204081632653,0.3510204081632653,0.9469387754797935
01M064,2019,601.2098999,596.5802612,223,0.03139013424515724,0.18385650217533112,0.713004469871521,0.017937220633029938,0,0.053811658173799515,0,0.286995530128479,0.026905829086899757,0.865470826625824,0.8946995735168457,0.3632286995515695,0.3632286995515695,0.9461883418262005
01M064,2022,590.5894775,583.1875,215,0.027906976640224457,0.1953488439321518,0.739534854888916,0.009302325546741486,0.004651162773370743,0.01860465109348297,0.004651162773370743,0.2604651153087616,0.013953488320112228,0.934883713722229,0.8629209399223328,0.4418604651162791,0.44651162790697674,0.981395348906517
01M110,2018,613.1578979,615.3154907,379,0.16886544227600098,0.09762533009052277,0.4432717561721802,0.026385223492980003,0.0026385225355625153,0.2612137198448181,0,0.12664908170700073,0.036939315497875214,0.6253297924995422,0.5799762606620789,0.45118733509234826,0.44327176781002636,0.7387862801551819
01M110,2019,614.666687,615.673584,372,0.15860214829444885,0.0994623675942421,0.4516128897666931,0.029569892212748528,0.0026881720405071974,0.25806450843811035,0,0.12096773833036423,0.02150537632405758,0.5672042965888977,0.5941156148910522,0.3870967741935484,0.3870967741935484,0.7419354915618896
01M110,2022,604.3920288,603.5484009,330,0.12121212482452393,0.10606060922145844,0.4727272689342499,0.027272727340459824,0.0030303029343485832,0.269696980714798,0,0.15757575631141663,0.021212121471762657,0.6272727251052856,0.6627386212348938,0.3787878787878788,0.37575757575757573,0.730303019285202
01M134,2018,592.4405518,587.6551514,297,0.1111111119389534,0.21548821032047272,0.6127946376800537,0.006734006572514772,0.010101010091602802,0.03703703731298447,0.006734006572514772,0.41750842332839966,0.0875420868396759,0.9191918969154358,0.9014949202537537,0.48148148148148145,0.4882154882154882,0.9629629626870155
01M134,2019,595.0379028,592.2153931,281,0.09608540683984756,0.2597864866256714,0.6014235019683838,0.0035587188322097063,0.007117437664419413,0.03202847018837929,0,0.4306049942970276,0.0854092538356781,0.935943067073822,0.916145920753479,0.4697508896797153,0.4626334519572954,0.9679715298116207
01M134,2022,590.7654419,580.111084,177,0.07344632595777512,0.2881355881690979,0.5819209218025208,0.028248587623238564,0.005649717524647713,0.016949152573943138,0.005649717524647713,0.3785310685634613,0.0451977401971817,0.95,0.95,0.4576271186440678,0.4576271186440678,0.9830508474260569
01M140,2018,593.6519775,588.2036133,371,0.056603774428367615,0.12398921698331833,0.7870619893074036,0,0.005390835460275412,0.026954177767038345,0,0.328840970993042,0.09703504294157028,0.8840970396995544,0.9126415252685547,0.6118598382749326,0.5956873315363881,0.9730458222329617
01M140,2019,590.8518677,588.333313,385,0.04415584355592728,0.1402597427368164,0.7922077775001526,0,0,0.023376623168587685,0,0.37662336230278015,0.11168830841779709,0.864935040473938,0.8996597528457642,0.561038961038961,0.5688311688311688,0.9766233768314123
01M140,2022,595.9627686,587.3388672,340,0.0235294122248888,0.19705882668495178,0.7235293984413147,0.008823529817163944,0.0029411765281111,0.04117647185921669,0.0029411765281111,0.38235294818878174,0.07941176742315292,0.8647058606147766,0.916949987411499,0.5529411764705883,0.5294117647058824,0.9588235281407833
01M142,2018,596.1918945,590.104187,340,0.0235294122248888,0.12647059559822083,0.8264706134796143,0,0.01764705963432789,0.0029411765281111,0.0029411765281111,0.3735294044017792,0.07941176742315292,0.95,0.9114823341369629,0.2911764705882353,0.2823529411764706,0.9970588234718889
01M142,2019,597.2692261,594.163269,353,0.036827195435762405,0.15580736100673676,0.7733711004257202,0.00283286115154624,0.01133144460618496,0.014164306223392487,0.00566572230309248,0.36827194690704346,0.07365439087152481,0.95,0.9121931791305542,0.29461756373937675,0.2776203966005666,0.9858356937766075
01M142,2022,592.5454712,587.270813,330,0.0030303029343485832,0.16363635659217834,0.760606050491333,0.0060606058686971664,0.01515151560306549,0.04545454680919647,0.0060606058686971664,0.25151515007019043,0.05454545468091965,0.9303030371665955,0.8973484635353088,0.16666666666666666,0.14545454545454545,0.9545454531908035
01M184,2018,611.7547607,617.6697998,684,0.6944444179534912,0.036549706012010574,0.13450291752815247,0.051169589161872864,0.008771929889917374,0.07309941202402115,0.001461988314986229,0.16520467400550842,0.15058480203151703,0.6798245906829834,0.653178334236145,0.6140350877192983,0.6242690058479532,0.9269005879759789
01M184,2019,612.6174316,619.0568848,678,0.6902654767036438,0.0398230105638504,0.1312684416770935,0.05752212554216385,0.0044247787445783615,0.0752212405204773,0.0014749262481927872,0.16076695919036865,0.14601770043373108,0.6799409985542297,0.6718893647193909,0.6091445427728613,0.6224188790560472,0.9247787594795227
01M184,2022,613.8787231,615.5149536,717,0.6987447738647461,0.0195258017629385,0.11576011031866074,0.078103207051754,0.0027894002851098776,0.08228731155395508,0.0027894002851098776,0.14644351601600647,0.13249650597572327,0.6262203454971313,0.6210167407989502,0.5634588563458857,0.5606694560669456,0.9177126884460449
01M188,2018,598.7007446,595.8339844,433,0.01847575046122074,0.2933025360107422,0.6605080962181091,0,0,0.027713626623153687,0,0.3117782771587372,0.1593533456325531,0.9214780330657959,0.95,0.6096997690531177,0.6120092378752887,0.9722863733768463
01M188,2019,593.8215332,597.2237549,407,0.014742014929652214,0.32923832535743713,0.6117936372756958,0.0024570024106651545,0.004914004821330309,0.03685503825545311,0,0.3636363744735718,0.07371007651090622,0.95,0.95,0.6609336609336609,0.538083538083538,0.9631449617445469
01M188,2022,591.8978882,591.4111938,390,0.041025642305612564,0.31794872879981995,0.5974358916282654,0.012820512987673283,0.010256410576403141,0.020512821152806282,0,0.3333333432674408,0.1051282063126564,0.95,0.95,0.6025641025641025,0.5051282051282051,0.9794871788471937
01M315,2018,609.6915894,609.3551636,318,0.10062892735004425,0.05345911905169487,0.2012578547000885,0.06603773683309555,0.003144653979688883,0.5754716992378235,0,0.17610062658786774,0.012578615918755531,0.2704402506351471,0.3692169785499573,0.33647798742138363,0.33647798742138363,0.4245283007621765
01M315,2019,606.0625,607.5855713,333,0.09609609842300415,0.045045044273138046,0.231231227517128,0.051051050424575806,0.0030030030757188797,0.5735735893249512,0,0.1621621549129486,0.015015015378594398,0.282282292842865,0.34897297620773315,0.33633633633633636,0.3333333333333333,0.42642641067504883
01M315,2022,606.4285889,603,302,0.10596026480197906,0.05298013240098953,0.2947019934654236,0.08940397202968597,0.0033112582750618458,0.4503311216831207,0.0033112582750618458,0.1821192055940628,0.023178808391094208,0.39403972029685974,0.43803322315216064,0.30132450331125826,0.31788079470198677,0.5496688783168793
01M332,2018,592.3132324,584.458313,203,0.08866994827985764,0.23152709007263184,0.6305418610572815,0.009852216579020023,0,0.03940886631608009,0,0.43842363357543945,0.054187193512916565,0.8866994976997375,0.8484039306640625,0.8177339901477833,0.8275862068965517,0.9605911336839199
01M332,2019,592.234314,586.1156006,209,0.08612440526485443,0.19617225229740143,0.6267942786216736,0.009569377638399601,0,0.08133970946073532,0,0.449760764837265,0.03349282220005989,0.8421052694320679,0.8160239458084106,0.8373205741626795,0.8277511961722488,0.9186602905392647
01M332,2022,598.1307983,585.5256348,196,0.040816325694322586,0.2091836780309677,0.6224489808082581,0.010204081423580647,0.005102040711790323,0.11224489659070969,0,0.43877550959587097,0.025510204955935478,0.8010203838348389,0.848642885684967,0.6632653061224489,0.3979591836734694,0.8877551034092903
01M361,2018,608.4382324,602.111084,315,0.09841269999742508,0.09206349402666092,0.3936507999897003,0.06031746044754982,0.0031746032182127237,0.3523809611797333,0,0.23174603283405304,0.02857142873108387,0.4571428596973419,0.505225419998169,0.28253968253968254,0.2857142857142857,0.6476190388202667
01M361,2019,604.7894897,598.3579102,320,0.09687499701976776,0.10312499850988388,0.3968749940395355,0.05000000074505806,0.0031250000465661287,0.3499999940395355,0,0.25312501192092896,0.03437500074505806,0.4906249940395355,0.5342249870300293,0.296875,0.296875,0.6500000059604645
01M361,2022,601.4838867,596.3110962,283,0.10247349739074707,0.10954063385725021,0.3462897539138794,0.09187278896570206,0.007067137863487005,0.3427561819553375,0,0.20141342282295227,0.02120141312479973,0.4840989410877228,0.5211554765701294,0.3286219081272085,0.31802120141342755,0.6572438180446625
01M363,2018,605.34375,596.0968018,304,0.0625,0.09210526198148727,0.3486842215061188,0.02631578966975212,0.00657894741743803,0.46052631735801697,0.003289473708719015,0.22697368264198303,0.032894738018512726,0.4375,0.4779078960418701,0.10526315789473684,0.10197368421052631,0.539473682641983
01M363,2019,597.888916,592.777771,306,0.06862745434045792,0.0882352963089943,0.3758170008659363,0.03594771400094032,0.009803921915590763,0.4215686321258545,0,0.23529411852359772,0.013071895577013493,0.4117647111415863,0.45997384190559387,0.08823529411764706,0.08823529411764706,0.5784313678741455
01M363,2022,607.166687,605.5,247,0.06477732956409454,0.08502024412155151,0.36032387614250183,0.09716599434614182,0.004048583097755909,0.38461539149284363,0.004048583097755909,0.24291497468948364,0.016194332391023636,0.42510122060775757,0.4781295657157898,0.024291497975708502,0.024291497975708502,0.6153846085071564
01M364,2018,599.7838135,590.4473877,355,0.0676056370139122,0.11267605423927307,0.391549289226532,0.08732394129037857,0,0.3408450782299042,0,0.290140837430954,0.0591549277305603,0.5464788675308228,0.5538507103919983,0.10422535211267606,0.10704225352112676,0.6591549217700958
01M364,2019,593.5,586.9285889,350,0.0714285746216774,0.10857142508029938,0.4028571546077728,0.07999999821186066,0,0.33714285492897034,0,0.2914285659790039,0.05999999865889549,0.5657142996788025,0.5789828300476074,0.09142857142857143,0.08,0.6628571450710297
01M364,2022,592.0714111,583.666687,239,0.06276150792837143,0.11297070980072021,0.4476987421512604,0.09623430669307709,0,0.2803347408771515,0,0.27196651697158813,0.033472802489995956,0.6066945791244507,0.6530126333236694,0.11715481171548117,0.11297071129707113,0.7196652591228485
01M378,2018,594.3058472,595.9004517,256,0.13671875,0.2734375,0.56640625,0.00390625,0.00390625,0.015625,0,0.390625,0.08984375,0.828125,0.8531992435455322,0.8046875,0.82421875,0.984375
01M378,2019,595.5404053,597.6555176,250,0.12800000607967377,0.23600000143051147,0.5640000104904175,0.024000000208616257,0.00800000037997961,0.03999999910593033,0,0.3880000114440918,0.10000000149011612,0.8519999980926514,0.8489720225334167,0.792,0.836,0.9600000008940697
01M378,2022,599.4932251,598.2333374,167,0.10778442770242691,0.24550898373126984,0.5808383226394653,0.005988024175167084,0.011976048350334167,0.04790419340133667,0,0.359281450510025,0.12574850022792816,0.910179615020752,0.8745688796043396,0.8862275449101796,0.8982035928143712,0.9520958065986633
01M450,2018,603.3869629,602.9723511,683,0.11859443783760071,0.16544656455516815,0.5373352766036987,0.008784772828221321,0.008784772828221321,0.14641287922859192,0.014641288667917252,0.2664714455604553,0.008784772828221321,0.6544656157493591,0.6288198828697205,0.3367496339677892,0.31771595900439237,0.8535871207714081
01M450,2019,605.7540283,607.8024902,680,0.11764705926179886,0.1661764681339264,0.5382353067398071,0.010294117964804173,0.0058823530562222,0.15294118225574493,0.008823529817163944,0.2750000059604645,0.013235294260084629,0.6705882549285889,0.6536573767662048,0.36470588235294116,0.3573529411764706,0.8470588177442551
01M450,2022,605.7484131,598.8214111,701,0.07560627907514572,0.1483594924211502,0.539229691028595,0.02139800228178501,0.0071326675824820995,0.20684735476970673,0.0014265335630625486,0.2938659191131592,0.018544936552643776,0.656205415725708,0.6500242352485657,0.2211126961483595,0.19971469329529243,0.7931526452302933
01M539,2018,630.196167,627.6235352,1734,0.3316032290458679,0.07727797329425812,0.11764705926179886,0.0617070347070694,0.007497116457670927,0.39907726645469666,0.005190311465412378,0.08073817938566208,0.008073817938566208,0.23933102190494537,0.28197693824768066,0.4204152249134948,0.3431372549019608,0.6009227335453033
01M539,2019,630.0392456,629.7689819,1754,0.33295324444770813,0.0672748014330864,0.11345496028661728,0.0678449273109436,0.007411630358546972,0.3973774313926697,0.013683009892702103,0.08551881462335587,0.015963511541485786,0.24515393376350403,0.26929646730422974,0.42132269099201825,0.34549600912200684,0.6026225686073303
01M539,2022,629.4992065,629.4857788,1640,0.3548780381679535,0.05426829308271408,0.10731707513332367,0.08536585420370102,0.002439024392515421,0.3926829397678375,0.0030487803742289543,0.12682926654815674,0.015853658318519592,0.2353658527135849,0.2558399438858032,0.3847560975609756,0.32134146341463415,0.6073170602321625
01M839,2018,605.9000244,601.854248,373,0.2305629998445511,0.13672922551631927,0.3860589861869812,0.026809651404619217,0.00804289523512125,0.20911528170108795,0.002680965233594179,0.27613940834999084,0.021447721868753433,0.6943699717521667,0.6799356341362,0.7238605898123325,0.6621983914209115,0.790884718298912
