District,Year,Mean_Scale_Score_e,Mean_Scale_Score_m,Total Enrollment,% Asian,% Black,% Hispanic,% Multi-Racial,% Native American,%_White,% Missing Race/Ethnicity Data,% SWD,% ELL,% Poverty,ENI,p_tested_e,p_tested_m,% POC
4,2019,598.3569336,596.4491577,13038,0.08559595048427582,0.23661604523658752,0.600935697555542,0.013499002903699875,0.01119803637266159,0.04686301574110985,0.005292222835123539,0.24651020765304565,0.10016873478889465,0.8138518333435059,0.8248842358589172,0.4022856266298512,0.37244976223347137,0.9531369842588902
4,2022,600.0026245,593.2392578,11567,0.09207227826118469,0.23852337896823883,0.5805308222770691,0.018068643286824226,0.009423359297215939,0.055070459842681885,0.006311057135462761,0.24042534828186035,0.10158208757638931,0.8020229935646057,0.8143988251686096,0.35938445577937234,0.3186651681507737,0.9449295401573181
5,2018,593.239563,588.9747925,11632,0.03937413915991783,0.49071526527404785,0.39288169145584106,0.008768913336098194,0.00894085317850113,0.04943259805440903,0.009886519983410835,0.23701857030391693,0.0912138894200325,0.8355398774147034,0.8398038744926453,0.41480398899587345,0.4093019257221458,0.950567401945591
5,2019,592.3032837,589.9613647,11236,0.03444286063313484,0.48789605498313904,0.39133143424987793,0.00898896437138319,0.009166963398456573,0.05784976854920387,0.010323958471417427,0.2468850165605545,0.0824136734008789,0.8187077045440674,0.8319318890571594,0.40699537201851194,0.39409042363830543,0.9421502314507961
5,2022,592.8044434,584.6090088,9341,0.03746922314167023,0.46515363454818726,0.39364093542099,0.012311316095292568,0.013274810276925564,0.06830103695392609,0.009849052876234055,0.25050851702690125,0.07815009355545044,0.7980944514274597,0.8209968209266663,0.37008885558291404,0.34171930200192696,0.9316989630460739
6,2018,595.6130981,594.7173462,22701,0.014052244834601879,0.07083388417959213,0.8508875966072083,0.006431434769183397,0.0030395137146115303,0.052861105650663376,0.0018941896269097924,0.19999119639396667,0.2782696783542633,0.8631337881088257,0.8432052135467529,0.40967358266155673,0.41108321219329547,0.9471388943493366
6,2019,595.8823853,596.8082275,21924,0.015188833698630333,0.07083561271429062,0.8459678888320923,0.007297938223928213,0.002782338997349143,0.056102901697158813,0.0018244845559820533,0.20885787904262543,0.26851850748062134,0.85317462682724,0.8361015319824219,0.4090950556467798,0.41580003648969166,0.9438970983028412
6,2022,596.0811157,590.9865112,19424,0.014569604769349098,0.07634884864091873,0.8215094804763794,0.013745881617069244,0.002831548685207963,0.06337520480155945,0.0076194400899112225,0.20654860138893127,0.25190484523773193,0.8079180121421814,0.8042107820510864,0.30647652388797364,0.29355436573311366,0.9366247951984406
7,2018,592.1455688,589.3471069,19875,0.010716981254518032,0.26847797632217407,0.6951949596405029,0.0035220126155763865,0.005584905855357647,0.014842767268419266,0.001660377369262278,0.23999999463558197,0.16578616201877594,0.9284528493881226,0.9248355627059937,0.35426415094339625,0.3580377358490566,0.9851572327315807
7,2019,592.0023193,590.3088989,19359,0.011467534117400646,0.2639082670211792,0.6953871846199036,0.003564233658835292,0.008419856429100037,0.01559997908771038,0.0016529778949916363,0.2424195408821106,0.15822097659111023,0.9163696765899658,0.9217584133148193,0.3598326359832636,0.36587633658763363,0.9844000209122896
7,2022,592.3743286,584.7012329,16032,0.010541416704654694,0.2672155797481537,0.6884356141090393,0.004303892143070698,0.010603792034089565,0.016155188903212547,0.002744511002674699,0.24463573098182678,0.1515718549489975,0.9152944087982178,0.9171375632286072,0.344935129740519,0.34487275449101795,0.9838448110967875
8,2018,595.0026855,593.4309692,28728,0.0592801459133625,0.21954190731048584,0.6441102623939514,0.0035853523295372725,0.010094680823385715,0.06147312745451927,0.001914508524350822,0.24101921916007996,0.13599972426891327,0.8419660329818726,0.8307521939277649,0.4377958785853523,0.4429476468950153,0.9385268725454807
8,2019,594.2988281,595.473938,28039,0.06273405253887177,0.2139163315296173,0.6470273733139038,0.0038517778739333153,0.011056029237806797,0.059310246258974075,0.002104212064296007,0.24166339635849,0.13534720242023468,0.8321623206138611,0.8307576775550842,0.4455223082135597,0.4526552302150576,0.9406897537410259
8,2022,594.1294556,587.8467407,24338,0.07284904271364212,0.19619524478912354,0.6540389657020569,0.0061632017605006695,0.011340291239321232,0.05682471767067909,0.002588544739410281,0.2203139066696167,0.14536938071250916,0.8199112415313721,0.8217833042144775,0.42686334127701536,0.4185224751417536,0.9431752823293209
9,2018,592.5314941,591.0246582,35271,0.014884749427437782,0.2780754864215851,0.685747504234314,0.0016444104257971048,0.004933231044560671,0.01312693115323782,0.0015877066180109978,0.22619149088859558,0.23055768013000488,0.9280995726585388,0.9318645596504211,0.4336707209889144,0.43684613421791274,0.9868730688467622
9,2019,591.652771,592.0231323,34180,0.013955529779195786,0.2756290137767792,0.6871269941329956,0.0019894675351679325,0.00593914557248354,0.013867759145796299,0.0014921006513759494,0.2310122847557068,0.2237565815448761,0.9245172739028931,0.9308720827102661,0.4430661205383265,0.4467817437097718,0.9861322408542037
9,2022,592.4661865,586.2462158,28491,0.012389877811074257,0.26639991998672485,0.6941139101982117,0.0033343862742185593,0.006352883297950029,0.01372363232076168,0.003685374278575182,0.2216840386390686,0.21852514147758484,0.9062861800193787,0.9193684458732605,0.3925801130181461,0.38773647818609386,0.9862763676792383
10,2018,594.1616211,591.6820679,56752,0.07652593404054642,0.15456724166870117,0.6928742527961731,0.005021849647164345,0.00840498972684145,0.06098463386297226,0.001621088245883584,0.19837185740470886,0.20885607600212097,0.8439350128173828,0.8389663100242615,0.40943050465181846,0.4074570059204962,0.9390153661370277
10,2019,593.5687256,592.8793945,54925,0.07768775522708893,0.1504233032464981,0.6960582733154297,0.005753300152719021,0.008611743338406086,0.059517525136470795,0.0019481111085042357,0.20298588275909424,0.20624488592147827,0.8315885066986084,0.8328092694282532,0.4136913973600364,0.41263541192535275,0.9404824748635292
10,2022,594.1543579,587.3355103,48016,0.07853632420301437,0.14718011021614075,0.690665602684021,0.009267743676900864,0.008288904093205929,0.06212512403726578,0.003936187829822302,0.19637204706668854,0.20103715360164642,0.8067102432250977,0.8162861466407776,0.3862254248583805,0.37231339553482173,0.9378748759627342
11,2018,596.3392944,593.5779419,40504,0.08120185881853104,0.38845545053482056,0.42136579751968384,0.005752518307417631,0.012838237918913364,0.08843570947647095,0.0019504246301949024,0.20044933259487152,0.11529725790023804,0.795526385307312,0.7725819945335388,0.45857199288959116,0.4551402330634011,0.911564290523529
11,2019,595.2459106,593.9957886,39666,0.0859174132347107,0.380754292011261,0.42429283261299133,0.006176574621349573,0.013059043325483799,0.08765693753957748,0.002142893150448799,0.20417989790439606,0.11763223260641098,0.7835173606872559,0.772922933101654,0.4628145010840518,0.4603438713255685,0.9123430624604225
11,2022,595.7181396,589.8555298,34491,0.09327071160078049,0.3545272648334503,0.43570786714553833,0.008755907416343689,0.012177089229226112,0.09158910810947418,0.003972050733864307,0.19529733061790466,0.12206082791090012,0.7820590734481812,0.7698944807052612,0.42318285929662813,0.3964802412223479,0.9084108918905258
12,2018,589.675415,586.9047852,23401,0.02743472531437874,0.24614332616329193,0.6971496939659119,0.0025212597101926804,0.011238835752010345,0.014572027139365673,9.401307906955481e-4,0.22588777542114258,0.1995641142129898,0.9268407225608826,0.9286686182022095,0.44113499423101576,0.44216059142771674,0.9854279728606343
12,2019,589.4503174,589.1965332,21955,0.02874060533940792,0.24067410826683044,0.6993395686149597,0.002869505900889635,0.011751309037208557,0.015440674498677254,0.001184240449219942,0.232839897274971,0.20368936657905579,0.9215668439865112,0.9271063804626465,0.45365520382600777,0.454748348895468,0.9845593255013227
12,2022,590.5511475,584.291626,18091,0.02957271598279476,0.23652644455432892,0.7011221051216125,0.004643192980438471,0.011276325210928917,0.013376817107200623,0.0034823946189135313,0.2231496274471283,0.21535569429397583,0.9094024896621704,0.9168427586555481,0.4333646564590128,0.42479686031728486,0.9866231828927994
13,2018,601.6216431,597.1030273,21658,0.2043124884366989,0.4383137822151184,0.16538923978805542,0.018376581370830536,0.006879674736410379,0.16137224435806274,0.0053559886291623116,0.14364206790924072,0.04340197518467903,0.668759822845459,0.6316976547241211,0.22550558685012467,0.22315079878105087,0.8386277556419373
13,2019,600.5076294,597.8878784,21772,0.20521770417690277,0.41879478096961975,0.16994304955005646,0.02232224866747856,0.007211097050458193,0.1707697957754135,0.00574131915345788,0.14564578235149384,0.04156715050339699,0.647896409034729,0.6169595718383789,0.21941025169943046,0.2125665993018556,0.8292302042245865
13,2022,602.3536377,594.0551147,20269,0.21466279029846191,0.3762395679950714,0.17899255454540253,0.02866446226835251,0.008041837252676487,0.1814100295305252,0.011988751590251923,0.13562583923339844,0.04326804354786873,0.5988948345184326,0.5859142541885376,0.1845675662341507,0.17104938576150772,0.8185899704694748
14,2018,599.0609741,596.1447144,18831,0.050395622849464417,0.20891083776950836,0.5715044140815735,0.00977112166583538,0.004832457285374403,0.14969995617866516,0.00488556083291769,0.20774255692958832,0.1123679056763649,0.7443045973777771,0.7626688480377197,0.3441665339068557,0.32988157824863257,0.8503000438213348
14,2019,598.8215942,597.6455688,18510,0.053214479237794876,0.20075634121894836,0.569800078868866,0.010318746790289879,0.0049702865071594715,0.1561318188905716,0.004808211699128151,0.2110210657119751,0.10815775394439697,0.7265262007713318,0.7502269744873047,0.34435440302539166,0.32328471096704486,0.8438681811094284
14,2022,599.9424438,593.4874878,16673,0.059737298637628555,0.1994841992855072,0.5416541695594788,0.018053140491247177,0.005997720640152693,0.16733641922473907,0.007737060077488422,0.2120194286108017,0.09962214529514313,0.6949559450149536,0.7254534363746643,0.283332333713189,0.23954897139087147,0.8326635807752609
15,2018,605.741272,604.4995728,33200,0.16138553619384766,0.13981927931308746,0.3615662753582001,0.02759036235511303,0.0041265059262514114,0.3010542094707489,0.004457831382751465,0.19695782661437988,0.15138554573059082,0.579006016254425,0.5870221257209778,0.38358433734939756,0.37150602409638556,0.6989457905292511
15,2019,605.0388184,604.8634644,33220,0.16267308592796326,0.1360626071691513,0.3562311828136444,0.029981939122080803,0.004033714532852173,0.3068934381008148,0.004124021623283625,0.20135460793972015,0.13841059803962708,0.5657435059547424,0.5743480920791626,0.38531005418422637,0.36393738711619505,0.6931065618991852
15,2022,605.8314209,601.5792847,29777,0.1652282029390335,0.12707795202732086,0.35685259103775024,0.041206300258636475,0.0044329515658319,0.2983846664428711,0.00681734224781394,0.20881888270378113,0.13758940994739532,0.5402827858924866,0.5527021288871765,0.3404976995667797,0.29630251536420726,0.7016153335571289
